# This file is generated on 06-Dec-2021 at 11:43:04 and contains for each site, each satellite, frequency:
# att_cld = attenuation due to clouds (dB); liq_cont = liquid water content (g/m^3).
# All parameters are computed by: ITU-R P.840-4 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Lavrion 75GHz (Lat = 3.7720e+01 deg, Lon = 2.4048e+01 deg, Alt = 2.0000e-02 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), liq_cont (g/m^3), att_cld (dB)
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 6.1191e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 6.1191e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 6.1191e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.5000e-02, 1.2245e+00, 6.1191e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 7.7000e-02, 1.2245e+00, 6.1191e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.3000e-01, 1.1772e+00, 5.8830e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 2.1000e-01, 1.0884e+00, 5.4393e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 4.8699e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 4.2824e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 3.7380e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 3.0253e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 2.2609e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 1.5152e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 9.0258e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 5.2830e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 1.7574e-01
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 1.7081e-02
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 3.5229e-03
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 9, 7.5000e+01, 4.5000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.0000e-02, 1.2245e+00, 5.6483e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.6000e-02, 1.2245e+00, 5.6483e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 2.7000e-02, 1.2245e+00, 5.6483e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 4.5000e-02, 1.2245e+00, 5.6483e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 7.7000e-02, 1.2245e+00, 5.6483e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.3000e-01, 1.1772e+00, 5.4303e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 2.1000e-01, 1.0884e+00, 5.0208e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.5000e-01, 9.7449e-01, 4.4953e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 6.0000e-01, 8.5692e-01, 3.9529e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 9.5000e-01, 7.4800e-01, 3.4504e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.7000e+00, 6.0538e-01, 2.7925e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.0000e+00, 4.5241e-01, 2.0869e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 5.1000e+00, 3.0320e-01, 1.3986e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 8.3000e+00, 1.8061e-01, 8.3314e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.2000e+01, 1.0572e-01, 4.8766e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 1.9000e+01, 3.5167e-02, 1.6222e-01
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 3.0000e+01, 3.4179e-03, 1.5766e-02
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 4.5000e+01, 7.0496e-04, 3.2519e-03
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 6.0000e+01, 0.0000e+00, 0.0000e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 8.0000e+01, 0.0000e+00, 0.0000e+00
1, 10, 7.5000e+01, 5.0000e+01, 1.0000e+00, 9.8000e+01, 0.0000e+00, 0.0000e+00
